training_rows,repeat,seed,target,fit_seconds,predict_seconds,r2,mae,rmse,mape_pct,p95_ape_pct
500,1,42,loss_w,0.33306829998036847,0.017869200004497543,0.9947715885486299,0.12103241061096424,0.18039290487644183,5.398459362700215,16.6891700762553
500,1,42,ripple_current_a,0.33306829998036847,0.017869200004497543,0.9063151450108929,0.25362322551719324,0.5014736121564743,20.2953218386233,63.4779795319373
1000,1,42,loss_w,0.505426499992609,0.020446499984245747,0.9972015426295978,0.08911794632669064,0.13197568392587075,3.756506012343187,10.78850001211359
1000,1,42,ripple_current_a,0.505426499992609,0.020446499984245747,0.9375238907224304,0.19599829359133367,0.4095155323624428,14.67843196659022,44.47965780193405
2500,1,42,loss_w,0.5296315999876242,0.018883899989305064,0.9986249036120143,0.06150640841025486,0.09251265484847862,2.390600015325784,6.963144509613727
2500,1,42,ripple_current_a,0.5296315999876242,0.018883899989305064,0.9775650496818253,0.12042281835693795,0.24540078449208083,9.013025979300169,25.134431796639124
5000,1,42,loss_w,0.6447419000032824,0.0162488000059966,0.9992790979239086,0.04636113720208296,0.06698425193174626,1.976564882453187,5.913142597240223
5000,1,42,ripple_current_a,0.6447419000032824,0.0162488000059966,0.9883542965255837,0.08802951997995596,0.1768056969658372,7.166408271004444,19.717808280561606
10000,1,42,loss_w,0.594794800010277,0.014266099984524772,0.999493030416008,0.039490191932022696,0.05617272928928128,1.6373840088862583,4.942675036573961
10000,1,42,ripple_current_a,0.594794800010277,0.014266099984524772,0.9933288274190833,0.07030391248261185,0.13381798269075626,5.727588706668141,16.025862807720898
16000,1,42,loss_w,0.6914350000151899,0.014953199977753684,0.999583324122878,0.03556302733679758,0.050925318356627745,1.5228038707722131,4.6009473466453
16000,1,42,ripple_current_a,0.6914350000151899,0.014953199977753684,0.9940363660265571,0.06555051101740443,0.12652282513818094,5.653547516060301,15.88612721177352
500,2,43,loss_w,0.3547488999902271,0.017364800005452707,0.994564835702413,0.1244470504306671,0.18392506232104228,5.359560069392148,17.494721289422237
500,2,43,ripple_current_a,0.3547488999902271,0.017364800005452707,0.9090902062457629,0.23424383804935955,0.4939906477421671,19.042392490284186,58.42053802915039
1000,2,43,loss_w,0.49670099999639206,0.02042990000336431,0.9967611882037102,0.09503299441350002,0.141980084295835,4.177358912703403,13.063983838364171
1000,2,43,ripple_current_a,0.49670099999639206,0.02042990000336431,0.9383593011158863,0.18809477904777896,0.40676836304626224,13.8680810949534,42.00586495687972
2500,2,43,loss_w,0.5243488000123762,0.018224400002509356,0.9983558306741586,0.0653897428818754,0.10115977257401045,2.5837210223290166,7.725708884595123
2500,2,43,ripple_current_a,0.5243488000123762,0.018224400002509356,0.9729399120350728,0.12790974965747684,0.2695119291358466,9.746717182131974,29.434031549417426
5000,2,43,loss_w,0.5589450999977998,0.015912100003333762,0.9991754764547526,0.04880321150153172,0.0716367879091488,1.9613974453887513,5.542463085083123
5000,2,43,ripple_current_a,0.5589450999977998,0.015912100003333762,0.9890055569186492,0.08747996198753967,0.17179084199899508,7.136846813490826,19.444769742976167
10000,2,43,loss_w,0.6001616999856196,0.01525019999826327,0.9995377095668168,0.03720506296548933,0.05364040231935129,1.5468600958580163,4.579869118870165
10000,2,43,ripple_current_a,0.6001616999856196,0.01525019999826327,0.991702525844117,0.07372617171754887,0.14924037954682523,5.9892950868293795,16.69672396227028
16000,2,43,loss_w,0.6345913000113796,0.01444999998784624,0.9995910910118458,0.0357213993648819,0.05044845866256588,1.5614523149236383,4.832928092484994
16000,2,43,ripple_current_a,0.6345913000113796,0.01444999998784624,0.9939815476924792,0.06508048670847874,0.1271030003120727,5.565872879563321,15.38866663924923
500,3,44,loss_w,0.3377446999948006,0.018188500020187348,0.9936909992817083,0.12652251610834273,0.19815948364829278,5.3109396133418905,16.479677618000764
500,3,44,ripple_current_a,0.3377446999948006,0.018188500020187348,0.8769803981728557,0.2940551658596799,0.5746462132611833,24.525290049686802,83.15872196045456
1000,3,44,loss_w,0.5980423000000883,0.021476299996720627,0.996702825311016,0.09644904454480165,0.14325360245130533,4.131668763986781,12.217924608743978
1000,3,44,ripple_current_a,0.5980423000000883,0.021476299996720627,0.9392962103049691,0.2053070338128965,0.4036651837429891,16.302281825858003,53.727441020881315
2500,3,44,loss_w,0.5869587000051979,0.01873169999453239,0.9987057972666371,0.060057924234746936,0.0897502629931938,2.4565788853240664,7.1789414934162314
2500,3,44,ripple_current_a,0.5869587000051979,0.01873169999453239,0.9758855004997041,0.11852880043110979,0.2544207432025643,9.490812414166161,26.235254419993968
5000,3,44,loss_w,0.5971422000147868,0.015803199989022687,0.9991441627720165,0.04832166219650923,0.07298441989345743,1.8995357645827722,5.499032959441803
5000,3,44,ripple_current_a,0.5971422000147868,0.015803199989022687,0.9871325874377039,0.08887056281588471,0.18584847575503205,6.994196252872154,19.337670027514324
10000,3,44,loss_w,0.5691921000252478,0.014153999974951148,0.9994259456986306,0.04056659269779932,0.059773826852873344,1.6293370284586177,4.801029561346466
10000,3,44,ripple_current_a,0.5691921000252478,0.014153999974951148,0.992382717519396,0.07251217049297942,0.1429925533905388,6.16740474272858,16.771364956364526
16000,3,44,loss_w,0.6480919999885373,0.014181000005919486,0.9996109631292007,0.035139903438250596,0.04920734749469487,1.5169317583599722,4.5743507282509706
16000,3,44,ripple_current_a,0.6480919999885373,0.014181000005919486,0.9940125474773945,0.06607345511926814,0.12677523726594903,5.704467658368895,15.684990794565135
