training_rows,target,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,mape_pct_mean,mape_pct_std,p95_ape_pct_mean,p95_ape_pct_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std
500,loss_w,0.9943424745109172,0.0005735866678707988,0.12400065904999136,0.0027721406063983393,0.18749248361525894,0.009405195443578996,5.356319681811418,0.04384976300609839,16.887856327892766,0.5358969897895542,0.34185396665513207,0.011409498611295501,0.017807500010045867,0.00041530181260736657
500,ripple_current_a,0.8974619164765039,0.017791702707479304,0.2606407431420776,0.030516928069844625,0.5233701577199416,0.044563708250187455,21.287668126198096,2.872995784468436,68.35241317384741,13.069602654702162,0.34185396665513207,0.011409498611295501,0.017807500010045867,0.00041530181260736657
1000,loss_w,0.9968885187147746,0.00027265277414561113,0.09353332842833077,0.0038888300067247495,0.13906979022433705,0.006176586456412016,4.021844563011124,0.23092273009679612,12.023469486407246,1.1501374947519285,0.5333899333296964,0.056160306040904835,0.02078423332811023,0.0005994047840920502
1000,ripple_current_a,0.9383931340477619,0.0008866440526626347,0.19646670215066972,0.008615682413986267,0.40664969305056475,0.0029269791027943973,14.949598295800541,1.2395489837667473,46.737654593231696,6.178409867285969,0.5333899333296964,0.056160306040904835,0.02078423332811023,0.0005994047840920502
2500,loss_w,0.99856217718427,0.00018322147121976453,0.062318025175625735,0.002757011761280685,0.09447423013856095,0.005952315552176556,2.4769666409929556,0.09816148059395004,7.289264962541694,0.39307067733118883,0.5469797000017328,0.03472344056761107,0.01861333332878227,0.000345315882658886
2500,ripple_current_a,0.9754634874055341,0.0023412701363982173,0.12228712281517486,0.004960572087135782,0.2564444856101639,0.01218230167116979,9.416851858532768,0.3723953787581094,26.934572588683505,2.233477990560301,0.5469797000017328,0.03472344056761107,0.01861333332878227,0.000345315882658886
5000,loss_w,0.9991995790502258,7.062276641038733e-05,0.04782867030004131,0.0012935271464079598,0.07053515324478417,0.0031481269181028275,1.9458326974749036,0.04080523597762649,5.6515462139217165,0.22758744424352043,0.6002764000052897,0.042984184649479416,0.01598803333278435,0.0002323020591231954
5000,ripple_current_a,0.9881641469606457,0.0009508529391670894,0.08812668159446012,0.0007003734364239288,0.17814833823995477,0.007124344243363077,7.0991504457891415,0.09208695293430283,19.50008268368403,0.19601253509603486,0.6002764000052897,0.042984184649479416,0.01598803333278435,0.0002323020591231954
10000,loss_w,0.9994855618938185,5.625499689583905e-05,0.03908728253177045,0.001716602028400797,0.0565289861538353,0.003082192943710525,1.604527044400964,0.05010285609815025,4.77452457226353,0.18284944439329973,0.5880495333403815,0.01655001502302546,0.01455676665257973,0.0006031409095029142
10000,ripple_current_a,0.9924713569275321,0.0008167661303521943,0.07218075156438004,0.0017350341343770174,0.1420169718760401,0.007757344949471764,5.961429512075367,0.22122817199954023,16.497983908785233,0.41056859360220666,0.5880495333403815,0.01655001502302546,0.01455676665257973,0.0006031409095029142
16000,loss_w,0.9995951260879749,1.4254474636115671e-05,0.03547477671331003,0.0003006251945224415,0.05019370817129617,0.0008868648883647474,1.5337293146852744,0.02418768245838651,4.669408722460421,0.1422349581060442,0.6580394333383689,0.029698739539209415,0.014528066657173136,0.0003919744924992314
16000,ripple_current_a,0.9940101537321436,2.7487450773284818e-05,0.06556815094838377,0.0004967191777857234,0.12680035423873423,0.00029090196775116543,5.641296017997505,0.07010493978050665,15.653261548529295,0.25024350959525526,0.6580394333383689,0.029698739539209415,0.014528066657173136,0.0003919744924992314
